,task,dataset,boot_iter,algorithm,scoring,n_trees,regularization,train_score,test_score,train_wall_time,test_wall_time,train_cpu_time,test_cpu_time,tunning_wall_time,tunning_cpu_time
0,classification,breast-cancer,5,BART,AUC,75,None,0.6806267806267806,0.5732323232323233,5.113265037536621,1.4802794456481934,0.24757576700000072,1.4802491010000267,,
0,classification,breast-cancer,5,BART,AUC,100,None,0.6991452991452991,0.5917508417508417,6.877747297286987,1.9617271423339844,0.26450004200000876,1.9617142010000066,,
0,classification,breast-cancer,5,BART,AUC,300,None,0.6898860398860399,0.5917508417508417,21.208937644958496,6.057331800460815,0.9147566699999743,6.057222198999966,,
0,classification,breast-cancer,5,BART,AUC,500,None,0.7084045584045584,0.5917508417508417,36.10207438468933,9.800742626190186,1.6541307769999776,9.800600201999998,,
0,classification,breast-cancer,6,BART,AUC,10,None,0.6528490028490028,0.5917508417508417,0.7475099563598633,0.20153212547302246,0.04501666099997692,0.20152294400003257,,
0,classification,breast-cancer,6,BART,AUC,25,None,0.6806267806267806,0.5917508417508417,1.7880871295928955,0.49863219261169434,0.04140278199997738,0.49859089500000664,,
0,classification,breast-cancer,6,BART,AUC,50,None,0.6821937321937322,0.6473063973063972,3.516061305999756,0.9790999889373779,0.0675202780000177,0.9790758249999953,,
0,classification,breast-cancer,6,BART,AUC,75,None,0.6582621082621082,0.6102693602693602,5.538746118545532,1.467376470565796,0.42621739399999115,1.4673738569999841,,
0,classification,breast-cancer,6,BART,AUC,100,None,0.6636752136752136,0.6102693602693602,7.331887483596802,1.9442386627197266,0.2937003700000105,1.9439907459999972,,
0,classification,breast-cancer,6,BART,AUC,300,None,0.672934472934473,0.6287878787878788,21.031005382537842,5.815580606460571,0.8821620209999992,5.815525223999998,,
0,classification,breast-cancer,6,BART,AUC,500,None,0.6598290598290598,0.6287878787878788,35.29170489311218,9.686942338943481,1.5248925829999962,9.686803731999987,,
0,classification,breast-cancer,7,BART,AUC,10,None,0.649002849002849,0.5580808080808081,0.7546327114105225,0.18854880332946777,0.05812946399998964,0.18854969099999153,,
0,classification,breast-cancer,7,BART,AUC,25,None,0.6435897435897435,0.5917508417508417,1.7569165229797363,0.4710557460784912,0.03880358199995726,0.4710568670000157,,
0,classification,breast-cancer,7,BART,AUC,50,None,0.665954415954416,0.5361952861952861,3.3060970306396484,0.9553654193878174,0.06437484699995366,0.955386247999968,,
0,classification,breast-cancer,7,BART,AUC,75,None,0.6435897435897435,0.5656565656565656,5.16617751121521,1.4397966861724854,0.3620418079999581,1.4398057390000076,,
0,classification,breast-cancer,7,BART,AUC,100,None,0.6544159544159543,0.5875420875420876,6.884160041809082,1.8879733085632324,0.2891411979999816,1.88798988100001,,
0,classification,breast-cancer,7,BART,AUC,300,None,0.672934472934473,0.5875420875420876,21.352221250534058,5.760463237762451,0.9143934190000209,5.760419528999989,,
0,classification,breast-cancer,7,BART,AUC,500,None,0.672934472934473,0.5875420875420876,35.43069767951965,9.631621599197388,1.4479437410000173,9.631546646000004,,
0,classification,breast-cancer,8,BART,AUC,10,None,0.598005698005698,0.6111111111111112,0.7097375392913818,0.18895506858825684,0.04313865099999248,0.18893377100005182,,
0,classification,breast-cancer,8,BART,AUC,25,None,0.5918803418803419,0.6851851851851851,1.6964945793151855,0.48708295822143555,0.0339418579999915,0.4870734420000531,,
0,classification,breast-cancer,8,BART,AUC,50,None,0.5864672364672365,0.6666666666666666,3.4193966388702393,0.9440088272094727,0.06586097699999982,0.9440195159999689,,
0,classification,breast-cancer,8,BART,AUC,75,None,0.6049857549857549,0.6851851851851851,5.257859230041504,1.4086785316467285,0.41378210099998114,1.408671551999987,,
0,classification,breast-cancer,8,BART,AUC,100,None,0.588034188034188,0.6851851851851851,6.624372243881226,1.8978698253631592,0.287630546999992,1.8978904539999917,,
0,classification,breast-cancer,8,BART,AUC,300,None,0.5972934472934472,0.6851851851851851,21.139421224594116,5.781771183013916,0.873659865000036,5.781725815000016,,
0,classification,breast-cancer,8,BART,AUC,500,None,0.5972934472934472,0.6666666666666666,35.84910750389099,9.893053770065308,1.602563960999987,9.893031817000008,,
0,classification,breast-cancer,9,BART,AUC,10,None,0.5918803418803419,0.6220538720538721,0.9560787677764893,0.20288300514221191,0.04867463199997246,0.20290395500001068,,
0,classification,breast-cancer,9,BART,AUC,25,None,0.6566951566951568,0.5993265993265994,2.6432666778564453,0.5023143291473389,0.04359657200001266,0.5022942460000195,,
0,classification,breast-cancer,9,BART,AUC,50,None,0.6566951566951568,0.5993265993265994,4.570513963699341,1.0068349838256836,0.08941661400001522,1.006809521999969,,
0,classification,breast-cancer,9,BART,AUC,75,None,0.665954415954416,0.5993265993265994,5.385809898376465,1.437086820602417,0.4530339120000235,1.4370697680000148,,
0,classification,breast-cancer,9,BART,AUC,100,None,0.665954415954416,0.5993265993265994,6.937633752822876,2.0157697200775146,0.3098480230000291,2.015745745000004,,
0,classification,breast-cancer,9,BART,AUC,300,None,0.6698005698005698,0.5993265993265994,21.0595862865448,5.7150559425354,0.910992025999974,5.714995567000017,,
0,classification,breast-cancer,9,BART,AUC,500,None,0.6752136752136751,0.5993265993265994,35.00504207611084,9.947836875915527,1.3611917779999771,9.947798452000029,,
0,classification,haberman,0,BART,AUC,10,None,0.5581481481481482,0.5288888888888889,0.749821662902832,0.05872917175292969,0.14849351200001593,0.05872964600001751,,
0,classification,haberman,0,BART,AUC,25,None,0.585925925925926,0.5288888888888889,1.5645496845245361,0.16778945922851562,0.024157937000040874,0.16777698499998905,,
0,classification,haberman,0,BART,AUC,50,None,0.6162962962962963,0.5340740740740741,3.1143665313720703,0.2893836498260498,0.1136309319999782,0.2893848680000133,,
0,classification,haberman,0,BART,AUC,75,None,0.6196296296296296,0.5474074074074075,4.786663293838501,0.44278597831726074,0.15502938200000926,0.44278503999998975,,
0,classification,haberman,0,BART,AUC,100,None,0.6196296296296296,0.5340740740740741,6.249001741409302,0.5901801586151123,0.26581120200000896,0.5901539989999947,,
0,classification,haberman,0,BART,AUC,300,None,0.6222222222222222,0.5407407407407407,18.836338996887207,1.784374475479126,0.6129461560000209,1.7843573519999723,,
0,classification,haberman,0,BART,AUC,500,None,0.6348148148148148,0.5407407407407407,31.952046394348145,2.985607862472534,1.290368056000034,2.9855298979999816,,
0,classification,haberman,1,BART,AUC,10,None,0.5059259259259259,0.5185185185185186,0.6475796699523926,0.0603947639465332,0.035003710000012234,0.06038897700000234,,
0,classification,haberman,1,BART,AUC,25,None,0.5548148148148149,0.517037037037037,1.5009925365447998,0.14673662185668945,0.024843335000014122,0.1467339199999742,,
0,classification,haberman,1,BART,AUC,50,None,0.5574074074074075,0.517037037037037,3.1469614505767822,0.3122386932373047,0.056880195000019285,0.31223905500002047,,
